,Problem_Slug,Description,Plag_Slug_Percentage
17,eewq89,"the Following code is an example of ? @NgModule({
declarations: [
AppComponent
],
imports: [
BrowserModule,
FormsModule,
HttpClientModule,
AppRoutingModule
],
providers: [],
bootstrap: [AppComponent]
})
Entry Components",[]
18,0qrmgx,"You are building a angular component where you need disabled a button using Data binding syntax.app.component.html : 
div
button [disabled]=__________Save/button
/div
app.component.ts :
export class AppComponent {
@ViewChild('bindingInput') bindingInput!: ElementRef;
isUnchanged = true;
}
Choose the right option from the following?isUnchanged
","[['0qrmgx', 81.0], ['eew64m', 80.56]]"
19,q6gqml,"You are building a angular component where you manipulate a single DOM element from the DOM treeapp.component.html : 
input type=""text"" value=""Test Angular"" #bindingInput/label
div
button (click)=""getHTMLAttributeValue()""Get HTML attribute value/button
/div
app.component.ts :
export class AppComponent {
@ViewChild('bindingInput') bindingInput!: ElementRef;
getHTMLAttributeValue(): any {
console.log('HTML attribute value: ' + this.bindingInput.nativeElement.getAttribute('value'));
}
}
Choose the right option/output from the following if the user clicks on the Button?HTML attribute value: Test Angular
","[['q6gqml', 90.27], ['rld59n', 82.06]]"
20,lq1m5n,Which type of forms will be accepted in the angular 7 versions?Both,"[['lq1m5n', 92.07]]"
21,lq1mx4,"You have a requirement to implement functionality in directives to highlight background color for the specific color checked in checkbox : app.component.html : 
div
input type=""radio"" name=""colors"" (click)=""color='lightgreen'""Green
input type=""radio"" name=""colors"" (click)=""color='yellow'""Yellow
input type=""radio"" name=""colors"" (click)=""color='cyan'""Cyan
/div
p [appHighlight]=""color""Highlight me!/p
highlight.directive.ts : 
@Directive({
selector: '[appHighlight]'
})
export class HighlightDirective {
constructor(private el: ElementRef) { }
@Input() defaultColor = '';
@Input('appHighlight') highlightColor = '';
@HostListener('mouseenter') onMouseEnter() {
this.highlight(this.highlightColor || this.defaultColor || 'red');
}
@HostListener('mouseleave') onMouseLeave() {
this.highlight('');
}
private highlight(color: string) {
________________ = color;
}
}
Choose the appropriate options for the blank spaces from the following? this.el.nativeElement.style.backgroundColor
","[['lq1mx4', 86.54], ['xqm4g1', 83.23], ['6y95x5', 83.04], ['8y41w3', 82.0], ['wpbaqx', 80.28]]"
22,4g8r9a,"How do you use NgIf in angular?app-item-detail *ngIf=""isActive"" [item]=""item""/app-item-detail
",[]
23,6y9m43,"You have a requirement to implement two-way data binding with in-built directives.Here is the sample codeapp.component.html :
h4 id=""ngFor-trackBy""*ngFor trackBy/h4
button (click)=""clearTrackByCounts()""Clear counts/button
piwithout/i trackBy/p
div class=""box""
div #noTrackBy *ngFor=""let item of items""({{item.id}}) {{item.name}}/div
div id=""noTrackByCnt"" *ngIf=""itemsNoTrackByCount"" 
Item DOM elements change #{{itemsNoTrackByCount}} without trackBy
/div
/div
app.component.ts :
export class AppComponent {
item!: Item; // defined to demonstrate template context precedence
items: Item[] = [];
currentItem!: Item;
itemsNoTrackByCount= 0;
itemsWithTrackByCount = 0;
itemsWithTrackByCountReset = 0;
itemIdIncrement = 1;
resetItems() {
this.items = Item.items.map(item = item.clone());
this.currentItem = this.items[0];
this.item = this.currentItem;
}
clearTrackByCounts() {
this.resetItems();
___________
}
Complete the code snippet to achieve the functionality to clearTrackByCounts() ?} Sample output : (0) Teapot(1) Lamp(2) Phone(3) Television(4) Fishbowlthis.itemsNoTrackByCount = 0;
this.itemsWithTrackByCount = 0;
this.itemIdIncrement = 1;
","[['6y9m43', 78.98], ['8y4egy', 76.32], ['xqmo99', 75.16]]"
24,mqg9px,Tony is trying to learn angular but he got stuck on this question what directive is used to link an a tag to routing?routerLink,"[['mqg9px', 96.96]]"
25,4g8ry9,"Oliver was having a code with him, and wanted to know what the functionality will be done after the execution of the code?set detail() { return this.databse.set('address'); }
Syntax error","[['4g8ry9', 95.29]]"
26,3g1oyv,"Noah was asked by his seniors what is the Keyword for implementing the asynchronous validator, and select the line of code for its correction?input [(ngModel)]=""detail"" #model=""ngModel"" appSomeAsyncValidator
","[['3g1oyv', 81.82]]"
27,yyb6aa,"Read the following code and guess the name of the template file.import { Component, OnInit } from '@angular/core'; @Component({
selector: 'app-zipcode',
templateUrl: './zipcode.component.html',
styleUrls: ['./zipcode.component.css']
})
export class ZipcodeComponent implements OnInit 
{
constructor() { }
 
ngOnInit() {
}
}
zipcode.component.html
","[['yyb6aa', 83.58]]"
28,pogrv3,"In order to iterate over elements declared in an array or an object what would be your best choice?*ngFor
","[['pogrv3', 95.96]]"
29,9depxq,"Consider the below-mentioned code snippet and suppose that y= 4321 then what will be the correct answer? app.component.html  Number y : input type=""number"" /
 div{{y | number:'2.2-2'}}/div
43.21","[['9depxq', 95.05]]"
30,d08465,"Tom is working on a project where he is using Angular JS for his work purpose. Assume In the middle, one of his senior instructed him to write a code for using the built-in ngFor function to render all the IDs of employees present in the company. Help Tom to find the correct syntax from the following given options.ul
li *ngFor=""let ID of IDs""{{ ID }}/li
 /ul
","[['d08465', 89.89], ['wpba0a', 65.21]]"
31,4g8ro9,"Alina knows a little about Angular, but she is willing to learn. She encounters the $dirty flag, but she knows nothing about it, so she asks for your help. Now you have to tell about the $dirty flag.$dirty flag states that the value is varying.","[['4g8ro9', 93.8]]"
32,oq30rr,Which of the following is the correct order in which the lifecycle hooks of Angular are called?Constructor - OnChanges -  OnInit,"[['oq30rr', 90.55]]"
33,6y95gr,"Which of the following component will be loaded if I hit the path ‘’/Japanese”?imports: [
BrowserModule,
RouterModule.forRoot([
{path: 'Italian', component: Italian},
{path: '**', component: Indian}
{path: 'Japanese', component: Japanese},
{path: ‘American’, component: American},
{path: 'Indian', redirectTo: '/American, pathMatch: 'full'}
]),
],
Indian","[['6y95gr', 96.0]]"
34,lq1m9n,"Consider the below code snippet which uses the built-in currency pipe and choose the right output.p{{250 | currency:""INR""}}/p
p{{250 | currency:""INR"":true}}/p
INR 250.00
₹250.00
","[['lq1m9n', 88.13]]"
35,1q69og,"In relation to Angular 4 RxJS Library, which of the following is the correct code that can be used for creating an observable that creates an AJAX request.import {ajax } from 'rxjs/ajax';
const apiData = ajax('/api/data’);
apiData)subscribe(res = console.log(res.status, res.response));
","[['1q69og', 65.59]]"
36,4g8re9,"You want to use a 404 error in your file; if an invalid URL is matched or a component route is not matched correctly. Below is the code that needs to be fixed. Choose the correct option.const routes: Routes = [
{ path: 'first-component', component: FirstComponent },
{ path: 'second-component', component: SecondComponent },
{ path: '##', component: PageNotFoundComponent },
const routes: Routes = [
{ path: 'first-component', component: FirstComponent },
{ path: 'second-component', component: SecondComponent },
{ path: '**', component: PageNotFoundComponent },
","[['4g8re9', 95.75], ['rld5pv', 82.38], ['0qrmmx', 72.81], ['0qrlqy', 66.46]]"
37,3g1o9v,"Rox is getting some confusion regarding some code. If the outlet name is not given then what will be the appropriate method to recall the default value? Harry's code is:router-outlet/router-outlet
router-outlet name='left'/router-outlet
router-outlet name='right'/router-outlet

Default value is primary","[['3g1o9v', 94.47], ['vbgd4a', 85.41]]"
38,yyb64o,"Consider a template file named zipcode.component.html. Choose which among the following would be the best way of defining the said template.import { Component, OnInit } from '@angular/core'; 
@Component({
selector: 'app-zipcode',
templateUrl: './zipcode.component.html',
styleUrls: ['./zipcode.component.css']
})
export class ZipcodeComponent implements OnInit 
{
constructor() { }
 
ngOnInit() {
}
}
","[['yyb6aa', 68.49], ['yyb64o', 66.29]]"
39,n1me4b,"While getting a response sometimes may not receive a full response, what options would you receive to read a full response?getUserResponse(): ObservableHttpResponseUser {
return this.http.getUser(
this.userUrl, { observe: 'response' });
}
","[['n1me4b', 77.78]]"
40,0qrma1,"Being an angular developer, Raman wants to have directives in his application. How would he create that?import { Directive, ElementRef, Input } from '@angular/core';
@Directive({ selector: '[myHighlight]' })
export class HighlightDirective {
constructor(el: ElementRef) {
el.nativeElement.style.backgroundColor = 'yellow';
}
}
",[]
41,8y41ln,"Two types of injection are present below, tell that which is the correct code?a)import { Injectable } from '@angular/core';
import { AdminModule } from './AdminModule';
@Injectable({
providedIn: AdminModule,
})
export class AdminService {
}
b)import { Injectable } from '@angular/core';
@Injectable({
providedIn: 'any',
})
export class AdminService {
}
Both ","[['8y41ln', 78.67]]"
42,eew60w,"The output of the following.name={
“JOHN”
}
h2 {{ name | slice:1-2}} /h2
""J
","[['eew60w', 91.02]]"
43,9depp5,"Steve wants to know more about coding so, How would you configure a route definition for a UserDetailComponent that supports the URL path user/23 (where 23 represents the id of the requested user)?{ path: ‘user/:id’, component: UserDetailComponent }
","[['9depp5', 95.25]]"
44,xqm451,"You have building a angular service which is used to call back end api , the below code is called whenever you need tocatch any Error occured :private handleError(err: HttpErrorResponse): Observablenever {
let errorMessage = '';
if (err.error instanceof ErrorEvent) {
errorMessage = `An error occurred: ${err.error.message}`;
} else {
errorMessage = `Server returned code: ${err.status}, error message is: ${err.message}`;
}
console.error(errorMessage);
return throwError(errorMessage);
}
The above code path throws a compile error at HttpErrorResponse, which the following namespace are you missing?import { HttpErrorResponse } from ""@angular/common/http"";
","[['xqm451', 90.07], ['lq1ml4', 75.29]]"
45,5ywqxd,"Anne is a developer.She wrote a code and is getting some errors. Read the Anne's code and choose the correct version of the code.import { Component, OnInit } from '@angular/core'; 
@Component({
selector: 'app-zipcode',
template: `
p
zipcode inline template
/p
`,
styleUrls: ['./zipcode.component.css']
}) 
export class ZipcodeComponent implements OnInit { 
constructor { } 
ngOnInit() { }
}
import { Component, OnInit } from '@angular/core'; 
@Component({
selector: 'app-zipcode',
template: `
p
zipcode inline template
/p
`,
styleUrls: ['./zipcode.component.css']
}) 
export class ZipcodeComponent implements OnInit {
 constructor() { }
ngOnInit() { }
}
","[['5ywqxd', 74.65], ['yyb6aa', 65.48]]"
46,pogr06,"Tom wants to add a class to the element if the person's name is found to be equal to his name. The name of the class is ""new-class"" How would he achieve his task?[ngClass]=""{'new-class':person.name === 'Tom'}""
","[['pogr06', 96.98]]"
47,d08415,"Read the snippet and identify how the ngclass is being used here?div [ngClass]=”{’first’: true}”
p [ngClass]=""{'second': false}""NGCLASS/p
/div
Object","[['d08415', 94.93]]"
48,8y41bn,"Ray wants to perform a validation check. He wants certain fields to be required and display an error if the validation fails. How would he do it?p
input type=""text"" name=""Student"" ng-model=""Student"" required
span style=""color:red"" ng-show=""myForm.Student.$dirty  myForm.Student.$invalid""
span ng-show=""myForm.Student.$error.required""Student Name is required./span
/span
/p
","[['ao6pq1', 69.03]]"
49,wpbaqx,"You have a requirement to implement functionality in directives to highlight the specific color checked in checkbox : app.component.html : 
div
input type=""radio"" name=""colors"" (click)=""color='lightgreen'""Green
input type=""radio"" name=""colors"" (click)=""color='yellow'""Yellow
input type=""radio"" name=""colors"" (click)=""color='cyan'""Cyan
/div
p [appHighlight]=""color""Highlight me!/p
p defaultColor=""violet""
Highlight me too!
/p
highlight.directive.ts : 
@Directive({
selector: '[appHighlight]'
})
export class HighlightDirective {
constructor(private el: ElementRef) { }
@Input() defaultColor = '';
@Input('appHighlight') highlightColor = '';
@HostListener('mouseenter') onMouseEnter() {
this.highlight(this.highlightColor || this.defaultColor || 'red');
}
@HostListener('mouseleave') onMouseLeave() {
this.highlight('');
}
private highlight(color: string) {
this.el.nativeElement.style.backgroundColor = color;
}
}
Choose the appropriate output for the following Highlight me too! paragraph?No color
","[['wpbaqx', 85.15], ['lq1mx4', 81.79], ['6y95x5', 79.93], ['xqm4g1', 79.71], ['8y41w3', 78.62]]"
50,eew65m,"You are testing your Angular application where you need to check whether the title property is validated properly for your respective component or not : it(`should have as title 'Test Project'`, () = {
const fixture = TestBed.createComponent(AppComponent);
const app = fixture.componentInstance;
expect(app.title).______('Test Project');
}); 
 Choose the right option from the following?toEqual
","[['eew65m', 87.2]]"
51,wpbaax,"Rick is trying to learn angular but he got stuck on this question what is the purpose of the prelodingStrategy property configuration in this router code?RouterModule.forRoot (
...
{
preloadingStrategy: PreloadAllModules
}
)
 It preloads all dependencies for routes, creating instances of services when the app first starts up","[['wpbaax', 73.33]]"
52,0qrmmx,"In the following code given by Preeti to know :-const routes: Routes = [
{ path: 'first-component', component: FirstComponent },
{ path: 'second-component', component: SecondComponent },
{ path: '',redirectTo: '/first-component', pathMatch: 'full' }, `
{ path: '**', component: PageNotFoundComponent }, 
];
 which of the statements are true?Both 1 and 2","[['0qrmmx', 97.75], ['rld5pv', 78.35]]"
53,pogrnp,"You are building an angular component where you need to initialize a numeric progression of an input elementapp.component.html : 
 label
Enter an progress value
input type=""number"" min=""0"" max=""100""
________ =""progress"" (input)=""setProgress($event)""
 /label

app.component.ts :

export class AppComponent{
progress = 0;

setProgress($event: Event) {
this.progress = +($event.target as HTMLInputElement).value;
}
}
Choose the right option for the blank space from the following?[value]
","[['pogrnp', 86.56], ['d0843m', 85.68], ['1q691b', 83.5], ['ao6p4x', 77.59]]"
54,4g8rqx,"Which of the following component will be loaded if I hit the path ‘/football” ?  imports: [
BrowserModule,
RouterModule.forRoot([
{path: 'cricket', component: CricketComponent},
{path: 'football', redirectTo: '/hockey, pathMatch: 'full'}
{path: 'hockey’, component: HockeyComponent},
{path: '**', component: BasketballComponent}
{path: 'football', component: FootballComponent},
]),
 ],
Hockey","[['4g8rqx', 95.68], ['5ywq5d', 81.66]]"
55,wpbebn,"John is required to use decorators used for parameters inside the class. Choose from the following the correct way of defining it.import { Component, Inject } from '@angular/core';
import { MyService } from './my-service';

@Component({
selector: 'my-component',
template: 'divSomething Done/div'
})
export class MyComponent {
constructor(@Inject(MyService) myService) {
console.log(myService);
}
}
",[]
56,9de0el,"John is writing some code and it turns out that his code is giving some errors. Read the code and choose the correct version of that code.ul ngFor=""let person of people""
li [class.text-success]=""person.country === 'UK'""
[class.text-primary]=""person.country === 'USA'""
[class.text-danger]=""person.country === 'HK'""{{ person.name }} ({{ person.country }})
/li
/ul
ul *ngFor=""let person of people""
li [class.text-success]=""person.country === 'UK'""
[class.text-primary]=""person.country === 'USA'""
[class.text-danger]=""person.country === 'HK'""{{ person.name }} ({{ person.country }})
/li
/ul
","[['9de0el', 94.79], ['oq3l31', 73.28]]"
57,3g1wgx,"You are implementing a download service to download a file from assets folder : Component file : download.component.ts
@Component({
selector: 'app-downloader'
providers: [ DownloaderService ]
})
export class DownloaderComponent {
contents: string | undefined;
constructor(private downloaderService: DownloaderService) {}

download() {
______________________
}

downloader.service.ts : 

@Injectable()
export class DownloaderService {
constructor(
private http: HttpClient,
private messageService: MessageService // push the message) { }

getTextFile(filename: string) {
return this.http.get(filename, {responseType: 'text'})
.pipe(
tap(
data = this.log(filename, data),
error = this.logError(filename, error)
)
);
}

private log(filename: string, data: string) {
const message = `DownloaderService downloaded ""${filename}"" and got ""${data}"".`;
this.messageService.add(message);
}

private logError(filename: string, error: any) {
const message = `DownloaderService failed to download ""${filename}""; got error ""${error.message}"".`;
console.error(message);
this.messageService.add(message);
}
}
Choose from the following option for the download method which is kept blank in the component?this.downloaderService.getTextFile('assets/textfile.txt')
.subscribe(results = this.contents = results);
","[['vbg9bg', 81.04], ['3g1wgx', 80.85]]"
58,bnve9y,"Suggest a input digits which wil be given to this input and get accepted by the following code:this.userForm = this.fb.group({
address: ['', [Validators.required,Validators.pattern('[A-Z]*$')]],
number: ['', [Validators.required,Validators.pattern('[a-z][2-9][0-9]')]]
});
VIHAR
a35
","[['bnve9y', 90.16], ['5ywqo3', 70.53]]"
59,q6g8gp,"Olivia wants to validate the input field's data. She wants to specify the data type and show errors if the validation fails. So choose the correct option for her.p
input type=""number"" name=""StudentRollNumber"" ng-model=""StudentRollNumber"" required
span style=""color:red"" ng- show=""myForm.StudentRollNumber.$dirty  myForm.StudentRollNumber.$invalid""
span ng-show=""myForm.StudentRollNumber.$error.required""Student Roll Number is required./span
span ng-show=""myForm.StudentRollNumber.$error.number""Not valid number!/span
/span
/p
","[['d08r81', 70.19]]"
60,xqmowx,"Will the following given code will make a button that will be disabled and will be available for use? it('initial form check', async() = {
expect(SubmitButton.disabled).toBeTruthy();
});
Yes, it will be","[['xqmowx', 93.13]]"
61,5ywqew,"Read the code and guess the color of the text ""DONE"" that woul be displayed?div [ngStyle] =""{'background-color':'green'}""
DONE
/div
Black ","[['5ywqew', 92.91]]"
62,eew6vq,"How can we add ""new-class"" to the list of classes already set on the element.[class.new-class]=""true""
","[['eew6vq', 88.94]]"
63,8y41rl,"Bruce needs a decorator for his angular application. How would he create that?function Dummy(target) { dummy.log('Something done', target); }
",[]
64,xqmom9,"Which is the correct way of implementing multicasting?var source = Rx.Observable.from([1, 2, 3]);
var subject = new Rx.Subject();
var multicasted = source.multicast(subject);

multicasted.subscribe({
next: (v) = console.log('observerA: ' + v)
});
multicasted.subscribe({
next: (v) = console.log('observerB: ' + v)
});
",[]
65,rld58v,"Below are the implementations of an App component, choose the one that is correctly implemented.import {Component} from '@angular/core';
@Component({
selector : 'app-root',
templateUrl : './app.component.html',
styleUrls : ['./app.component.css']
})
export class AppComponent{
title = 'example;
}
",[]
66,oq30yv,"While writing some code in angular Rohan wants to use classes. He wants to name it Sample. How would he do it?ng generate class Sample [options]
","[['oq30yv', 88.5]]"
67,ao6p4x,"You are building an angular component where you need to initialize a numeric progression of the input elementYou have set the minimum value is 0 and the maximum value as 100app.component.html : 
 label
Enter an progress value
input type=""number"" __________
[value]=""progress"" (input)=""setProgress($event)""
 /label
app.component.ts :
export class AppComponent{
progress = 0;
setProgress($event: Event) {
this.progress = +($event.target as HTMLInputElement).value;
}
}
Choose the right option for the blank space from the following?min=""0"" max=""100""
","[['ao6p4x', 90.1], ['d0843m', 82.03], ['pogrnp', 78.92], ['1q691b', 76.71]]"
68,5ywqlb,"You are building an angular component where you toggle the disabled property of Buttonapp.component.html :
div
button id=""testButton""Test Button/button
/div
div
button (click)=""toggleDisabled()""Toggle disabled property for Test Button/button
/div
app.component.ts :
export class AppComponent {
toggleDisabled(): any {
const testButton = document.getElementById(
'__________'
) as HTMLInputElement;
testButton.disabled = !testButton.disabled;
console.warn(testButton.disabled);
}
}
Choose the right option for the blank space from the following?testButton
","[['5ywqlb', 85.85], ['gb6x4p', 81.97]]"
69,gb6x39,"Identify the type of Form from the code snippet.export class HomeComponent {
email= new FormControl('');
}
p
Email:
input type=""text"" [formControl]=""email""
/p
Template-driven Form","[['gb6x39', 70.49]]"
70,xqm419,"Sam is trying to learn Angular frameworks and he is stuck with a problem, after looking at the book and even using the Internet he can't understand the problem, he approaches you to help him and tell him.What type of Operator is used when we need to use Multiple HTTP calls in parallel.fork-join Operator","[['xqm419', 97.34], ['wpbenm', 76.12], ['n1m6ry', 75.19], ['8y41xn', 74.94], ['gb6xxp', 74.31], ['q6gq9p', 74.0], ['8y4epa', 72.99], ['bnve6y', 72.51], ['8y41dy', 72.28], ['eew6oy', 71.39], ['xqm4o1', 68.76], ['0qrme8', 66.96], ['8y41n3', 66.92], ['lq1man', 66.46]]"
71,lq1m81,"The Following code is an example of ? :-getProducts(): Observableany[] {
return this.http.getany[](apiUrl)
.pipe(
tap(product = console.log('fetched products')),
catchError(this.handleError('getProducts', []))
);
}
Tap Operator","[['lq1m81', 72.91]]"
72,9de0ql,"After execution of these programs, which program will not give any error?class Car{
engine;
stearing;
constructor ()
{
this.engine = newengine(); 
this.tires = newstearing();
}
}
",[]
73,8y4eqa,"John came to know that his details are wrong in the database and wants to update it by making a request so help him update the details by the given code and find the errors.updateProfile() {
this.JohnProfile.UpdateValue({
Name: John,
ID: {
passport_numer: XXXXXXXXXX,
}
});
}
Use patchValue instead of update value","[['8y4eqa', 83.35]]"
74,6y9md3,"Choose the correct output for the following code snippet.appComponent.ts
export class AppComponent{
name=""JOHN"";
condition=true
}
appComponent.html
p {{name}} /p
div *ngIf=""condition as value; else elseBlock""
pName : {{name | uppercase | lowercase}}/p
/div
ng-template #elseBlockName : {{name | lowercase | uppercase }}/ng-template
JOHN john
","[['6y9md3', 81.21], ['n1m6go', 72.83], ['1q69ne', 71.32]]"
75,lq14rr,"Consider all the given options and select the one which will make an input field but the value should not be there.it('initial form check', async() = {
expect(name.value).toBeFalsy();
});
","[['lq14rr', 80.11]]"
76,oq3ldq,"Anna was finding an example code that is written in the template-driven form of Angular 7, so select an option that gives you the code of the template-driven forms.export class HomeComponent {
email= new FormControl('');
}
p
Email:
input type=""text"" [formControl]=""email""
/p
","[['oq3ldq', 74.06]]"
77,3g1wax,"Examine the given codes and tell which of the following will create a disabled button in the Angular 7.it('initial form check', async() = {
expect(submitButton.disabled).toBeTruthy();
});
","[['3g1wax', 77.4]]"
78,vbg9xg,"John is an angular 7 developer and wants to navigate to a component named home so select an option that will help in doing this.a [(routerLink)]=""/home""/a
","[['vbg9xg', 95.29]]"
79,yybrv9,"Someone is a database manager at a company end given a task ofupdating the data of sohail end their empoyee id as 1032.updateProfile() {
this.SohailProfile.UpdateValue({
Name: Sohail,
ID: {
employee_idr: 1032,
}
});
}
Find the error in the code.Use patchValue instead of update value","[['yybrv9', 75.32]]"
80,5ywn4x,"Which one of the following options is the correct method to use the Merge Map operator in Angular?import { Component } from '@angular/core';
import { FormControl,
FormGroup,
FormBuilder } from '@angular/forms';
import { SearchService } from './services/search.service';
import 'rxjs/Rx';

@Component({
selector: 'app-root',
template: `
form [formGroup]=""coolForm""input formControlName=""search"" placeholder=""Search Spotify artist""/form

div *ngFor=""let artist of result""
{{artist.name}}
/div
`
})
export class AppComponent {
searchField: FormControl;
coolForm: FormGroup;

constructor(private searchService:SearchService, private fb:FormBuilder) {
this.searchField = new FormControl();
this.coolForm = fb.group({search: this.searchField});

this.searchField.valueChanges
.debounceTime(400)
.flatMap(term = this.searchService.search(term))
.subscribe((result) = {
this.result = result.artists.items
});
}
}
","[['6y951b', 66.38]]"
81,pogx3r,"Someone is trying to find the error in this code could you help her in finding the mistake in this code?﻿import { ReactiveFormsModule } from '@angular/forms';
import { BrowserModule } from '@angular/platform-browser';
import { NgModule } from '@angular/core';
import { AppComponent } from './app.component';
@NgModule({
declarations: [
AppComponent
],
imports: [
BrowserModule,
FormsModule,
ReactiveFormsModule
],
providers: [],
bootstrap: [AppComponent]
})
export class AppModule { }
FormsModule
","[['pogx3r', 72.04]]"
82,4g8b4q,"What condition should we have in the form elements to make the following test case pass :   it('initial form check', async() = {
expect(TruckSieInput.value).toBeFalsy();
});
TruchSize should not have any value on page load","[['4g8b4q', 79.42]]"
